"CREDITS: Skrine, Scrappy, Freckleston",,,,,,,,,,,,This section tells you what rounds are insta-kill rounds for the elemental zombies as well as water-infused zombies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLICK HERE TO VIEW ALL AVAILABLE INFO AND IT'S LOCATION,,,,,,,,,,,,,,,,,,,,,,,,,Easter Egg Cheat Sheet ,,,,,,,,,,,Box percentages and rarities,,,,,,,,
,,,,,,,,,,,,281,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Echohawk,6,13,SDM,5,45,,
,,,,,,,,,,,,282,FALSE,TRUE,,,FALSE,,TRUE,,TRUE,,,,,,,,,,,,,,,,Hades,6,54,SG12,5,55,,
,,,,,,,,,,,,283,FALSE,TRUE,,,FALSE,,TRUE,,TRUE,,,,,,,,,,,,,,,,MicroMG,6,12,Swat,5,37,,
,,,,,,,,,,,,284,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Stingray,6,22,Vendetta,5,26,,
,,,,,,,,,,,,285,TRUE,,,,,,,,,,,,,,,,,,,,,,,,Tigershark,6,25,Echohawk,6,19,,
,,,,,,,,,,,,286,FALSE,FALSE,,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,VKM,6,55,Hades,6,60,,
,,,,,,,,,,,,287,FALSE,TRUE,,,FALSE,,TRUE,,,,,,,,,,,,,,,,,,AN94,7,15,MicroMG,6,18,,
,,,,,,,,,,,,288,FALSE,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,Locus,7,21,Stingray,6,28,,
,,,,,,,,,,,,289,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,,,,,,,,,,,,,,,,Outlaw,7,37,Tigershark,6,31,,
,,,,,,,,,,,,290,FALSE,,,,TRUE,,FALSE,,FALSE,,,,,,,,,,,,,,,,Paladin,7,38,VKM,6,61,,
,,,,,,,,,,,,291,FALSE,FALSE,,TRUE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,Reaver,7,18,AN94,7,21,,
,,,,,,,,,,,,292,FALSE,FALSE,TRUE,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,Zweihander,7,57,Locus,7,27,,
,,,,,,,,,,,,293,FALSE,FALSE,TRUE,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,Outlaw,7,43,,
,,,,,,,,,,,,294,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,Paladin,7,44,,
,,,,,,,,,,,,295,FALSE,FALSE,,TRUE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,Reaver,7,24,,
,,,,,,,,,,,,296,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,Zweihander,7,51,,
,,,,,,,,,,,,297,FALSE,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,298,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,299,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,300,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
